Date,Active energy burned(Cal),Apple Watch stand hours(hr),Basal energy burned(Cal),Distance walking / running(mi),Exercise time(min),Flights climbed(count),Heart rate(count/min),Resting heart rate(count/min),Stand time(min),Step count(count),Walking heart rate average(count/min)
2019-11-01,,,,1.911,,,,,,5940.000,
2019-11-02,,,,0.985,,,,,,2909.000,
2019-11-03,,,,0.718,,,,,,2151.000,
2019-11-04,,,,0.634,,1.000,,,,1783.000,
2019-11-05,,,,1.426,,3.000,,,,4153.000,
2019-11-06,,,,1.661,,,,,,4807.000,
2019-11-07,,,,1.215,,,,,,3697.000,
2019-11-08,,,,0.365,,1.000,,,,1009.000,
2019-11-09,,,,1.412,,2.000,,,,4155.000,
2019-11-10,,,,0.025,,,,,,72.000,
2019-11-11,,,,0.785,,4.000,,,,2324.000,
2019-11-12,,,,0.559,,,,,,1644.000,
2019-11-13,,,,0.817,,,,,,2405.000,
2019-11-14,,,,0.481,,,,,,1398.000,
2019-11-15,,,,0.478,,,,,,1395.000,
2019-11-16,,,,1.987,,,,,,5952.000,
2019-11-17,,,,0.068,,,,,,190.000,
2019-11-18,,,,0.524,,,,,,1522.000,
2019-11-19,,,,0.373,,2.000,,,,1141.000,
2019-11-20,,,,0.315,,,,,,970.000,
2019-11-21,,,,0.576,,,,,,1624.000,
2019-11-22,,,,0.677,,4.000,,,,2015.000,
2019-11-23,,,,2.798,,1.000,,,,8315.000,
2019-11-24,,,,0.380,,1.000,,,,1050.000,
2019-11-25,,,,0.356,,2.000,,,,1167.000,
2019-11-26,,,,0.581,,,,,,1617.000,
2019-11-27,,,,0.152,,,,,,440.000,
2019-11-28,,,,0.435,,1.000,,,,1371.000,
2019-11-29,153.129,4.000,397.643,2.008,62.000,,87.357,76.000,97.000,10577.000,102.000
2019-11-30,909.746,18.000,2210.912,5.484,27.000,3.000,82.635,67.000,291.000,13316.000,101.000
2019-12-01,699.344,18.000,2158.281,5.205,33.000,2.000,79.198,64.000,241.000,15393.000,119.000
2019-12-02,859.728,18.000,2257.285,4.164,43.000,11.000,73.539,62.000,212.000,12060.000,91.000
2019-12-03,772.930,16.000,2231.586,3.120,31.000,1.000,73.370,63.000,144.000,8169.000,91.500
2019-12-04,816.195,16.000,2258.474,3.778,14.000,9.000,77.235,61.000,195.000,8524.000,98.000
2019-12-05,935.944,18.000,2402.264,4.121,14.000,7.000,75.214,63.000,164.000,9248.000,96.500
2019-12-06,819.492,16.000,2380.819,3.881,2.000,9.000,74.216,65.000,152.000,8737.000,100.500
2019-12-07,831.567,17.000,2322.515,4.610,8.000,4.000,70.474,59.000,180.000,10593.509,92.000
2019-12-08,1067.700,15.000,2319.683,6.369,33.000,28.000,79.707,60.000,225.000,14064.000,93.000
2019-12-09,847.260,16.000,2307.522,3.622,14.000,4.000,70.434,60.000,151.000,8067.000,94.000
2019-12-10,682.950,14.000,2164.374,3.519,12.000,1.000,72.228,57.000,120.000,7863.000,101.000
2019-12-11,801.428,15.000,2246.352,3.991,16.000,3.000,76.825,65.000,141.000,8888.000,103.000
2019-12-12,848.519,15.000,2367.160,3.670,19.000,3.000,76.500,66.000,112.000,8107.000,106.500
2019-12-13,851.239,17.000,2410.053,3.816,8.000,3.000,75.313,61.000,144.000,8525.000,94.000
2019-12-14,1162.332,19.000,2523.024,6.584,20.000,22.000,84.245,67.000,294.000,14775.000,101.000
2019-12-15,607.833,11.000,2160.941,3.423,4.000,4.000,81.232,56.000,144.000,7730.803,97.000
2019-12-16,1046.656,17.000,2342.545,5.580,30.000,7.000,78.306,65.000,193.000,12259.000,102.000
2019-12-17,748.926,16.000,2230.471,3.673,8.000,2.000,71.801,61.000,122.000,8207.000,105.000
2019-12-18,696.393,16.000,2253.598,2.443,3.000,3.000,75.019,62.000,107.000,5460.000,106.000
2019-12-19,667.950,17.000,2189.225,2.649,5.000,2.000,74.130,68.000,104.000,5954.000,98.000
2019-12-20,1008.820,17.000,2385.303,5.481,9.000,11.000,74.668,55.000,208.000,12299.000,103.000
2019-12-21,862.565,15.000,2431.355,3.942,12.000,2.000,75.789,56.000,148.000,8951.000,102.000
2019-12-22,824.040,16.000,2337.211,3.046,7.000,10.000,69.850,55.000,209.000,6842.000,100.000
